12	844	5936	5500	2914	5884	2996	673	4349	6933	1265	5654	8322	
12	3779	8557	2819	4967	4660	2956	8758	9948	3421	690	2368	8611	
12	1930	4172	9111	9758	4486	7392	4945	7247	9930	8182	8407	2224	
12	9097	8928	2014	266	8238	1324	4611	4947	2268	7286	3869	6204	
12	9461	6640	2177	5015	3544	5426	6881	2599	5388	7942	4554	3649	
12	4434	9059	9560	563	4777	4028	8380	2053	6415	9498	5799	5687	
12	6226	5310	8066	3996	7061	5485	7936	2934	8768	5563	679	6415	
12	1632	2213	491	3701	7057	6542	7936	5449	7166	2306	1035	4163	
12	9325	7062	9676	1934	6955	1144	3091	2092	9869	2455	5950	1992	
12	9653	6635	5676	7102	8863	6493	5660	6964	7183	9672	2557	845	
12	407	3625	6519	843	8403	1107	4640	4195	5812	3226	4847	3683	
12	226	8067	8204	263	6222	5426	1445	4070	1316	423	1967	7385	
12	9656	8091	4011	7361	6879	7832	8038	8446	5520	8892	1651	6260	
12	665	2495	7071	4345	4322	7690	6854	7774	6537	5355	2027	4780	
12	253	6197	591	4465	1601	6027	9855	3989	9672	2141	7575	4478	
12	9008	7648	4637	3364	2770	8201	3026	6735	9853	9582	1123	2734	
12	1615	3736	5852	6047	3281	453	6669	5485	5451	8066	5373	4139	
12	7863	6137	4798	8431	3098	6935	2118	9817	4771	4419	730	880	
12	6341	1211	4449	3896	3849	4202	9150	4770	1158	4385	3466	7411	
12	772	9118	6468	110	1796	2911	4146	625	2543	5677	5542	6029	
12	3170	2022	5969	793	7118	6330	87	9855	2275	8219	2217	9672	
12	5822	8977	1488	2416	2262	6429	3809	5351	2473	1192	1718	9098	
12	9188	8475	1429	2237	8477	253	4965	3647	3682	5194	6352	3612	
12	3236	7729	533	4461	5491	2535	416	1573	90	7007	3211	5673	
12	1198	4209	5970	6605	3597	44	995	6480	8259	1704	7207	3580	
12	1562	9827	3640	515	2657	3780	8338	2292	3125	4254	4895	1932	
12	9615	1559	6359	7493	3906	9446	4787	1150	8569	6111	3672	5881	
12	9187	9794	7952	538	7312	3036	8111	3723	646	3398	5324	7241	
12	6384	2491	5950	330	7211	1690	5369	1992	7464	3069	356	2158	
12	3978	5679	5551	3450	2340	5347	2658	9227	7201	375	6224	5773	
12	1855	781	2786	9730	2646	2117	6342	9533	6285	3506	4378	4722	
12	4635	4769	685	9836	4077	622	7721	689	9629	4031	5472	1069	
12	3135	773	8941	9451	8581	5532	9964	2119	2022	9962	2237	7575	
12	2940	3838	628	1153	9313	7487	2625	7457	5274	7278	1966	1734	
12	4413	8645	7825	1090	483	2339	5055	6156	6095	9426	6756	7166	
12	5477	3146	4989	9366	6862	1709	9385	6578	5560	6375	6213	984	
12	3477	2754	9097	7286	5841	3940	367	6634	9994	6871	5193	4279	
12	6144	8106	5877	688	3573	1217	8370	8661	5477	7417	3356	714	
